Date,Description,Debit,Credit,Balance
2026-04-01,NEFT CREDIT-ACME CORP SALARY APR,,85000.00,85000.00
2026-04-02,ACH DEBIT-HDFC HOME LOAN EMI NACH,18000.00,,67000.00
2026-04-03,UPI-ZOMATO-ORDER-1001@okaxis,349.00,,66651.00
2026-04-04,UPI-SWIGGY-INSTAMART-4502@okicici,1100.00,,65551.00
2026-04-05,JIO PREPAID RECHARGE JIOMONEY,399.00,,65152.00
2026-04-06,NETFLIX INDIA PRIVATE LIMITED,649.00,,64503.00
2026-04-08,ZERODHA BROKING SIP MUTUAL FUND,5000.00,,59503.00
2026-04-10,AMAZON SELLER INDIA ORD-88210,2199.00,,57304.00
2026-04-11,SPOTIFY INDIA SUBSCRIPTION,119.00,,57185.00
2026-04-12,BESCOM ELECTRICITY BILL PAYMENT,1650.00,,55535.00
2026-04-13,UBER INDIA RIDES PVT LTD,380.00,,55155.00
2026-04-15,RENT TO LANDLORD SHARMA TRANSFER,22000.00,,33155.00
2026-04-15,INTEREST CREDITED Q1 SAVINGS,,312.00,33467.00
2026-05-01,NEFT CREDIT-ACME CORP SALARY MAY,,85000.00,118467.00
2026-05-02,ACH DEBIT-HDFC HOME LOAN EMI NACH,18000.00,,100467.00
2026-05-03,UPI-ZOMATO-ORDER-2010@okaxis,415.00,,100052.00
2026-05-04,UPI-SWIGGY-INSTAMART-5100@okhdfcl,1250.00,,98802.00
2026-05-05,JIO PREPAID RECHARGE JIOPAY,399.00,,98403.00
2026-05-06,NETFLIX INDIA PVT LTD SUBSCRIPTION,649.00,,97754.00
2026-05-08,ZERODHA SIP AUTO DEBIT MAY,5000.00,,92754.00
2026-05-10,AMAZON SELLER INDIA ORD-99102,3499.00,,89255.00
2026-05-11,SPOTIFY PREMIUM INDIA,119.00,,89136.00
2026-05-12,BESCOM ELECTRICITY BILL MAY,1720.00,,87416.00
2026-05-13,UBER RIDES BANGALORE,450.00,,86966.00
2026-05-15,RENT TO LANDLORD SHARMA TRANSFER,22000.00,,64966.00
2026-05-15,INTEREST CREDITED SAVINGS ACCOUNT,,320.00,65286.00
2026-06-01,NEFT CREDIT-ACME CORP SALARY JUN,,85000.00,150286.00
2026-06-02,ACH DEBIT-HDFC HOME LOAN EMI NACH,18000.00,,132286.00
2026-06-03,UPI-ZOMATO-ORDER-3100@okaxis,440.00,,131846.00
2026-06-04,UPI-SWIGGY-INSTAMART-6100@okhdfcl,1100.00,,130746.00
2026-06-05,JIO RECHARGE JIOMONEY PREPAID,399.00,,130347.00
2026-06-06,NETFLIX SUBSCRIPTION RENEWAL,649.00,,129698.00
2026-06-08,ZERODHA SIP DIRECT MUTUAL FUND JUN,5000.00,,124698.00
2026-06-10,AMAZON INDIA SHOPPING ORD-10091,1899.00,,122799.00
2026-06-11,SPOTIFY INDIA PREMIUM,119.00,,122680.00
2026-06-12,BESCOM ELECTRICITY PAYMENT JUN,1750.00,,120930.00
2026-06-13,UBER INDIA AUTO BOOKING,290.00,,120640.00
2026-06-15,RENT TO LANDLORD SHARMA TRANSFER,22000.00,,98640.00
2026-06-15,INTEREST SAVINGS BANK ACCT,,330.00,98970.00
